mediator	early_bmi	adult_bmi
IGF	-0.0361859370411845	-0.120314689681651
Testosterone (bioavailable)	-0.00383400797496225	0.258677907382292
Testosterone (free)	0.0011877206298818	0.274948956843423
SHBG	-0.00618570596079564	-0.391566530757684
Testosterone (total)	-0.00308270021523709	0.0843377825757734
Childhood height	0.0478503376118171	0.000311649197591022
Childhood BMI	1	0.197457970757342
Adult BMI	0.197457970757342	1
Age at menarche (UKB)	-0.18038630381757	-0.150829774036217
Age at first live birth (UKB)	-0.00187112630367445	-0.160617665382926
Number of births (UKB)	-0.0293005563881025	0.0471011521303226
Age at menopause (UKB)	0.0146786574820213	-0.0209636169549356
